Date;CAPE
1952.03;12.36
1952.04;12.24
1952.05;12.2
1952.06;12.45
1952.07;12.67
1952.08;12.68
1952.09;12.43
1952.1;12.13
1952.11;12.47
1952.12;12.93
1953.01;13.01
1953.02;12.86
1953.03;12.83
1953.04;12.16
1953.05;12.14
1953.06;11.62
1953.07;11.75
1953.08;11.72
1953.09;11.14
1953.1;11.39
1953.11;11.64
1953.12;11.75
1954.01;12
1954.02;12.22
1954.03;12.42
1954.04;12.91
1954.05;13.31
1954.06;13.36
1954.07;13.83
1954.08;14.04
1954.09;14.36
1954.1;14.62
1954.11;15.12
1954.12;15.79
1955.01;15.99
1955.02;16.44
1955.03;16.22
1955.04;16.69
1955.05;16.52
1955.06;17.37
1955.07;18.45
1955.08;18.22
1955.09;18.84
1955.1;17.77
1955.11;18.84
1955.12;18.94
1956.01;18.29
1956.02;18.27
1956.03;19.37
1956.04;19.37
1956.05;18.54
1956.06;18.16
1956.07;18.86
1956.08;18.67
1956.09;17.84
1956.1;17.42
1956.11;17.12
1956.12;17.2
1957.01;16.72
1957.02;15.84
1957.03;15.9
1957.04;16.12
1957.05;16.6
1957.06;16.73
1957.07;16.87
1957.08;15.87
1957.09;15.16
1957.1;14.15
1957.11;13.74
1957.12;13.67
1958.01;13.79
1958.02;13.78
1958.03;13.93
1958.04;13.91
1958.05;14.32
1958.06;14.64
1958.07;14.96
1958.08;15.54
1958.09;15.93
1958.1;16.56
1958.11;16.99
1958.12;17.36
1959.01;17.98
1959.02;17.76
1959.03;18.2
1959.04;18.43
1959.05;18.69
1959.06;18.45
1959.07;19.09
1959.08;18.96
1959.09;18.12
1959.1;18.02
1959.11;18.07
1959.12;18.62
1960.01;18.34
1960.02;17.55
1960.03;17.29
1960.04;17.43
1960.05;17.26
1960.06;17.82
1960.07;17.38
1960.08;17.58
1960.09;17.05
1960.1;16.61
1960.11;17.15
1960.12;17.56
1961.01;18.47
1961.02;19.23
1961.03;19.84
1961.04;20.38
1961.05;20.6
1961.06;20.33
1961.07;20.15
1961.08;20.94
1961.09;20.71
1961.1;20.92
1961.11;21.86
1961.12;22.04
1962.01;21.2
1962.02;21.45
1962.03;21.44
1962.04;20.66
1962.05;19.09
1962.06;16.83
1962.07;17.14
1962.08;17.57
1962.09;17.32
1962.1;16.74
1962.11;17.85
1962.12;18.59
1963.01;19.26
1963.02;19.47
1963.03;19.29
1963.04;20.15
1963.05;20.51
1963.06;20.38
1963.07;19.97
1963.08;20.47
1963.09;20.96
1963.1;20.89
1963.11;20.72
1963.12;21.04
1964.01;21.63
1964.02;21.83
1964.03;22.17
1964.04;22.42
1964.05;22.57
1964.06;22.3
1964.07;22.98
1964.08;22.65
1964.09;22.89
1964.1;23.21
1964.11;23.23
1964.12;22.75
1965.01;23.27
1965.02;23.37
1965.03;23.25
1965.04;23.42
1965.05;23.71
1965.06;22.39
1965.07;22.3
1965.08;22.67
1965.09;23.37
1965.1;23.78
1965.11;23.93
1965.12;23.69
1966.01;24.06
1966.02;23.7
1966.03;22.61
1966.04;23.11
1966.05;21.85
1966.06;21.56
1966.07;21.38
1966.08;19.91
1966.09;19.16
1966.1;18.83
1966.11;19.71
1966.12;19.74
1967.01;20.43
1967.02;21.07
1967.03;21.44
1967.04;21.69
1967.05;21.95
1967.06;21.55
1967.07;21.8
1967.08;22.03
1967.09;22.22
1967.1;22.07
1967.11;21.26
1967.12;21.75
1968.01;21.51
1968.02;20.42
1968.03;19.93
1968.04;21.28
1968.05;21.63
1968.06;22
1968.07;21.75
1968.08;21.14
1968.09;21.68
1968.1;22
1968.11;22.2
1968.12;22.28
1969.01;21.19
1969.02;20.9
1969.03;20.2
1969.04;20.43
1969.05;20.97
1969.06;19.71
1969.07;18.68
1969.08;18.43
1969.09;18.4
1969.1;18.45
1969.11;18.44
1969.12;17.33
1970.01;17.09
1970.02;16.37
1970.03;16.53
1970.04;15.87
1970.05;13.98
1970.06;13.8
1970.07;13.73
1970.08;14.1
1970.09;14.84
1970.1;15.06
1970.11;14.95
1970.12;15.87
1971.01;16.46
1971.02;17.03
1971.03;17.4
1971.04;17.92
1971.05;17.56
1971.06;17.08
1971.07;16.89
1971.08;16.52
1971.09;16.86
1971.1;16.43
1971.11;15.64
1971.12;16.6
1972.01;17.26
1972.02;17.46
1972.03;17.81
1972.04;17.92
1972.05;17.66
1972.06;17.64
1972.07;17.4
1972.08;17.94
1972.09;17.61
1972.1;17.53
1972.11;18.34
1972.12;18.65
1973.01;18.71
1973.02;17.89
1973.03;17.41
1973.04;16.94
1973.05;16.31
1973.06;15.81
1973.07;15.89
1973.08;15.28
1973.09;15.48
1973.1;15.91
1973.11;14.65
1973.12;13.49
1974.01;13.53
1974.02;12.96
1974.03;13.31
1974.04;12.55
1974.05;12
1974.06;11.89
1974.07;10.39
1974.08;9.82
1974.09;8.68
1974.1;8.74
1974.11;8.95
1974.12;8.29
1975.01;8.92
1975.02;9.76
1975.03;10.16
1975.04;10.23
1975.05;10.82
1975.06;11.01
1975.07;10.9
1975.08;10.09
1975.09;9.92
1975.1;10.33
1975.11;10.44
1975.12;10.25
1976.01;11.19
1976.02;11.59
1976.03;11.63
1976.04;11.69
1976.05;11.53
1976.06;11.54
1976.07;11.76
1976.08;11.6
1976.09;11.81
1976.1;11.35
1976.11;11.25
1976.12;11.6
1977.01;11.44
1977.02;11.01
1977.03;10.9
1977.04;10.64
1977.05;10.55
1977.06;10.53
1977.07;10.57
1977.08;10.27
1977.09;10.07
1977.1;9.77
1977.11;9.77
1977.12;9.68
1978.01;9.24
1978.02;9.05
1978.03;8.95
1978.04;9.26
1978.05;9.63
1978.06;9.55
1978.07;9.43
1978.08;10.02
1978.09;9.94
1978.1;9.53
1978.11;8.93
1978.12;9.01
1979.01;9.26
1979.02;9
1979.03;9.07
1979.04;9.13
1979.05;8.79
1979.06;8.85
1979.07;8.83
1979.08;9.13
1979.09;9.11
1979.1;8.68
1979.11;8.52
1979.12;8.75
1980.01;8.85
1980.02;9.05
1980.03;8.08
1980.04;7.84
1980.05;8.1
1980.06;8.51
1980.07;8.88
1980.08;9.07
1980.09;9.2
1980.1;9.36
1980.11;9.65
1980.12;9.39
1981.01;9.26
1981.02;8.83
1981.03;9.08
1981.04;9.09
1981.05;8.82
1981.06;8.77
1981.07;8.45
1981.08;8.4
1981.09;7.58
1981.1;7.65
1981.11;7.81
1981.12;7.83
1982.01;7.39
1982.02;7.18
1982.03;6.95
1982.04;7.26
1982.05;7.19
1982.06;6.69
1982.07;6.64
1982.08;6.64
1982.09;7.4
1982.1;8
1982.11;8.35
1982.12;8.47
1983.01;8.76
1983.02;8.91
1983.03;9.23
1983.04;9.53
1983.05;9.87
1983.06;10
1983.07;10.01
1983.08;9.73
1983.09;9.98
1983.1;10
1983.11;9.85
1983.12;9.82
1984.01;9.89
1984.02;9.32
1984.03;9.33
1984.04;9.31
1984.05;9.23
1984.06;9.01
1984.07;8.87
1984.08;9.62
1984.09;9.69
1984.1;9.6
1984.11;9.69
1984.12;9.6
1985.01;10
1985.02;10.49
1985.03;10.37
1985.04;10.4
1985.05;10.61
1985.06;10.81
1985.07;11
1985.08;10.74
1985.09;10.47
1985.1;10.55
1985.11;11.16
1985.12;11.69
1986.01;11.72
1986.02;12.39
1986.03;13.19
1986.04;13.55
1986.05;13.56
1986.06;13.89
1986.07;13.62
1986.08;13.89
1986.09;13.47
1986.1;13.43
1986.11;13.87
1986.12;14.09
1987.01;14.92
1987.02;15.82
1987.03;16.43
1987.04;16.2
1987.05;16.16
1987.06;16.83
1987.07;17.31
1987.08;18.33
1987.09;17.68
1987.1;15.53
1987.11;13.59
1987.12;13.39
1988.01;13.9
1988.02;14.3
1988.03;14.67
1988.04;14.43
1988.05;14.03
1988.06;14.77
1988.07;14.61
1988.08;14.24
1988.09;14.37
1988.1;14.81
1988.11;14.45
1988.12;14.7
1989.01;15.09
1989.02;15.47
1989.03;15.3
1989.04;15.69
1989.05;16.19
1989.06;16.64
1989.07;17.01
1989.08;17.73
1989.09;17.71
1989.1;17.64
1989.11;17.24
1989.12;17.65
1990.01;17.05
1990.02;16.51
1990.03;16.83
1990.04;16.81
1990.05;17.39
1990.06;17.82
1990.07;17.75
1990.08;16.17
1990.09;15.3
1990.1;14.82
1990.11;15.19
1990.12;15.85
1991.01;15.61
1991.02;17.35
1991.03;17.82
1991.04;18.16
1991.05;18.04
1991.06;18.02
1991.07;18.1
1991.08;18.51
1991.09;18.36
1991.1;18.35
1991.11;18.29
1991.12;18.44
1992.01;19.77
1992.02;19.58
1992.03;19.28
1992.04;19.3
1992.05;19.66
1992.06;19.32
1992.07;19.62
1992.08;19.72
1992.09;19.71
1992.1;19.37
1992.11;19.83
1992.12;20.45
1993.01;20.32
1993.02;20.55
1993.03;20.86
1993.04;20.46
1993.05;20.52
1993.06;20.61
1993.07;20.56
1993.08;20.81
1993.09;20.99
1993.1;21.11
1993.11;21.04
1993.12;21.16
1994.01;21.41
1994.02;21.26
1994.03;20.83
1994.04;20.06
1994.05;20.2
1994.06;20.29
1994.07;20.07
1994.08;20.54
1994.09;20.58
1994.1;20.4
1994.11;20.21
1994.12;19.91
1995.01;20.22
1995.02;20.8
1995.03;21.15
1995.04;21.64
1995.05;22.2
1995.06;22.72
1995.07;23.38
1995.08;23.28
1995.09;23.95
1995.1;23.93
1995.11;24.35
1995.12;25.03
1996.01;24.76
1996.02;25.98
1996.03;25.63
1996.04;25.42
1996.05;25.81
1996.06;25.97
1996.07;24.86
1996.08;25.41
1996.09;25.68
1996.1;26.48
1996.11;27.59
1996.12;27.72
1997.01;28.33
1997.02;29.27
1997.03;28.8
1997.04;27.59
1997.05;29.93
1997.06;31.26
1997.07;32.77
1997.08;32.59
1997.09;32.67
1997.1;32.9
1997.11;32.34
1997.12;33.03
1998.01;32.86
1998.02;34.71
1998.03;36.3
1998.04;37.28
1998.05;36.96
1998.06;36.8
1998.07;38.26
1998.08;35.42
1998.09;33.53
1998.1;33.77
1998.11;37.37
1998.12;38.82
1999.01;40.58
1999.02;40.4
1999.03;41.36
1999.04;42.7
1999.05;42.56
1999.06;42.18
1999.07;43.83
1999.08;41.93
1999.09;41.32
1999.1;40.55
1999.11;43.21
1999.12;44.2
2000.01;43.77
2000.02;42.19
2000.03;43.22
2000.04;43.53
2000.05;41.97
2000.06;42.78
2000.07;42.76
2000.08;42.87
2000.09;41.9
2000.1;39.37
2000.11;38.78
2000.12;37.27
2001.01;36.98
2001.02;35.83
2001.03;32.33
2001.04;32.17
2001.05;34.07
2001.06;33.07
2001.07;32.16
2001.08;31.4
2001.09;27.67
2001.1;28.58
2001.11;30.01
2001.12;30.5
2002.01;30.28
2002.02;29.09
2002.03;30.29
2002.04;29.01
2002.05;28.13
2002.06;26.39
2002.07;23.46
2002.08;23.59
2002.09;22.37
2002.1;21.96
2002.11;23.35
2002.12;23.1
2003.01;22.9
2003.02;21.21
2003.03;21.31
2003.04;22.43
2003.05;23.59
2003.06;24.83
2003.07;24.87
2003.08;24.64
2003.09;25.24
2003.1;25.68
2003.11;25.95
2003.12;26.64
2004.01;27.66
2004.02;27.65
2004.03;26.89
2004.04;26.9
2004.05;25.9
2004.06;26.4
2004.07;25.7
2004.08;25.17
2004.09;25.67
2004.1;25.41
2004.11;26.47
2004.12;27.14
2005.01;26.59
2005.02;26.74
2005.03;26.34
2005.04;25.41
2005.05;25.65
2005.06;26.07
2005.07;26.29
2005.08;26.1
2005.09;25.73
2005.1;24.88
2005.11;25.93
2005.12;26.44
2006.01;26.47
2006.02;26.25
2006.03;26.33
2006.04;26.15
2006.05;25.65
2006.06;24.75
2006.07;24.7
2006.08;25.05
2006.09;25.64
2006.1;26.54
2006.11;26.93
2006.12;27.28
2007.01;27.21
2007.02;27.32
2007.03;26.23
2007.04;26.98
2007.05;27.55
2007.06;27.42
2007.07;27.41
2007.08;26.15
2007.09;26.73
2007.1;27.32
2007.11;25.73
2007.12;25.96
2008.01;24.02
2008.02;23.5
2008.03;22.61
2008.04;23.36
2008.05;23.7
2008.06;22.42
2008.07;20.91
2008.08;21.4
2008.09;20.36
2008.1;16.39
2008.11;15.26
2008.12;15.38
2009.01;15.17
2009.02;14.12
2009.03;13.32
2009.04;14.98
2009.05;16
2009.06;16.38
2009.07;16.69
2009.08;18.09
2009.09;18.83
2009.1;19.36
2009.11;19.81
2009.12;20.32
2010.01;20.53
2010.02;19.92
2010.03;21
2010.04;21.8
2010.05;20.48
2010.06;19.74
2010.07;19.67
2010.08;19.77
2010.09;20.38
2010.1;21.24
2010.11;21.7
2010.12;22.4
2011.01;22.98
2011.02;23.49
2011.03;22.9
2011.04;23.14
2011.05;23.06
2011.06;22.1
2011.07;22.61
2011.08;20.05
2011.09;19.7
2011.1;20.16
2011.11;20.35
2011.12;20.52
2012.01;21.21
2012.02;21.8
2012.03;22.05
2012.04;21.78
2012.05;20.94
2012.06;20.55
2012.07;21
2012.08;21.41
2012.09;21.78
2012.1;21.58
2012.11;20.9
2012.12;21.24
2013.01;21.9
2013.02;22.05
2013.03;22.42
2013.04;22.6
2013.05;23.41
2013.06;22.93
2013.07;23.49
2013.08;23.36
2013.09;23.44
2013.1;23.83
2013.11;24.64
2013.12;24.86
2014.01;24.86
2014.02;24.59
2014.03;24.96
2014.04;24.79
2014.05;24.94
2014.06;25.56
2014.07;25.82
2014.08;25.62
2014.09;25.92
2014.1;25.16
2014.11;26.61
2014.12;26.79
2015.01;26.49
2015.02;27
2015.03;26.73
2015.04;26.79
2015.05;26.81
2015.06;26.5
2015.07;26.38
2015.08;25.69
2015.09;24.5
2015.1;25.49
2015.11;26.23
2015.12;25.97
2016.01;24.21
2016.02;24
2016.03;25.37
2016.04;25.92
2016.05;25.69
2016.06;25.84
2016.07;26.69
2016.08;26.95
2016.09;26.73
2016.1;26.53
2016.11;26.85
2016.12;27.87
2017.01;28.06
2017.02;28.66
2017.03;29.09
2017.04;28.9
2017.05;29.31
2017.06;29.75
2017.07;30
2017.08;29.91
2017.09;30.17
2017.1;30.92
2017.11;31.3
2017.12;32.09
2018.01;33.31
2018.02;32.04
2018.03;31.81
2018.04;30.97
2018.05;31.24
2018.06;31.63
2018.07;31.89
2018.08;32.39
2018.09;32.62
2018.1;31.04
2018.11;30.2
2018.12;28.29
2019.01;28.38
2019.02;29.54
2019.03;29.58
2019.04;30.13
2019.05;29.24
2019.06;29.28
2019.07;29.99
2019.08;28.71
2019.09;29.23
2019.1;28.84
2019.11;29.84
2019.12;30.33
2020.01;30.99
2020.02;30.73
2020.03;24.82
2020.04;25.93
2020.05;27.33
2020.06;28.84
2020.07;29.6
2020.08;31.16
2020.09;30.84
2020.1;31.28
2020.11;32.47
2020.12;33.77
2021.01;34.51
2021.02;35.1
2021.03;35.04
2021.04;36.72
2021.05;36.55
2021.06;36.7
2021.07;37.44
2021.08;37.97
2021.09;37.62
2021.1;37.25
2021.11;38.58
2021.12;38.3
2022.01;36.94
2022.02;35.29
2022.03;34.27
2022.04;33.89
2022.05;30.67
2022.06;29.05
2022.07;29
2022.08;30.7
2022.09;28.23
2022.1;27.08
2022.11;28.38
2022.12;28.32
2023.01;28.33
2023.02;28.98
2023.03;28.06
2023.04;28.91
